report_id,report_year,place_id,standard_name,matched_variants,category,term,window_words,cooccurrence_count
b18018348,1893,P016,London Hospital,london hospital,housing,houses,50,2
b18018348,1893,P016,London Hospital,london hospital,housing,rooms,50,1
b18018348,1893,P016,London Hospital,london hospital,governance,board,50,1
b18018348,1893,P017,Whitechapel Workhouse,whitechapel workhouse,housing,rooms,50,1
b18018348,1893,P018,Commercial Street,commercial street,housing,dwellings,50,1
b18018348,1893,P018,Commercial Street,commercial street,housing,houses,50,2
b18018348,1893,P019,George Yard,george yard,housing,houses,50,1
b18018348,1893,P021,Fashion Street,fashion street,housing,houses,50,1
b18018348,1893,P022,Mile End Old Town,mile end old town,housing,houses,50,2
b18018348,1893,P022,Mile End Old Town,mile end old town,governance,inspection,50,1
b18018348,1893,P022,Mile End Old Town,mile end old town,governance,board,50,1
b1801835x,1894,P001,Whitechapel Road,whitechapel road,sanitary,sanitary,50,1
b1801835x,1894,P001,Whitechapel Road,whitechapel road,housing,dwellings,50,1
b1801835x,1894,P003,Brick Lane,brick lane,housing,houses,50,3
b1801835x,1894,P004,Commercial Road,commercial road,sanitary,sanitary,50,1
b1801835x,1894,P004,Commercial Road,commercial road,housing,houses,50,1
b1801835x,1894,P004,Commercial Road,commercial road,governance,board,50,2
b1801835x,1894,P006,Wentworth Street,wentworth street,disease,fever,50,1
b1801835x,1894,P006,Wentworth Street,wentworth street,disease,scarlet fever,50,1
b1801835x,1894,P006,Wentworth Street,wentworth street,sanitary,sanitary,50,2
b1801835x,1894,P006,Wentworth Street,wentworth street,sanitary,drain,50,3
b1801835x,1894,P006,Wentworth Street,wentworth street,sanitary,filth,50,3
b1801835x,1894,P006,Wentworth Street,wentworth street,sanitary,dirty,50,4
b1801835x,1894,P006,Wentworth Street,wentworth street,sanitary,water supply,50,1
b1801835x,1894,P006,Wentworth Street,wentworth street,housing,overcrowded,50,1
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,disease,fever,50,6
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,disease,scarlet fever,50,1
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,disease,typhoid,50,2
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,disease,measles,50,2
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,disease,diphtheria,50,2
b1801835x,1894,P007,Flower and Dean Street,flower and dean street,housing,dwellings,50,2
